Route,RouteScore,log(RouteScore),Avg. time cost per step (h),Avg. monetary cost per step ($),Avg. materials cost per step (g),Number of steps,Scale (mol),Total human time (h),Total yield (%)
1,687230.1620198905,5.837102212102785,2.194444444466666,156.4018901985336,328.13717,3,0.457289189672,6.5833333334,65.327027096
2,188000.6801938906,5.274159420561121,1.5,198.9549449557357,29.734124999999,2,0.07916999999999999,3.0,79.16999999999999
3,153466.5012511958,5.186013592129502,1.333333333333333,76.31869498639206,10.518640666665,3,0.021883,4.0,66.31212121212121
4,8064518.853877247,6.906578461577498,2.5,142.2821536861685,30.57130666666667,3,0.005589999999999999,7.500000000000001,9.637931034482758
5,6611461.868091215,6.82029749746604,6.083333333300001,326.4429404987464,9.987800451999998,1,0.003,6.083333333300001,60.0
6,1747329.284827345,6.24237475564568,1.861111111133333,110.6290801134598,65.07034630745832,3,0.033098,5.5833333334,12.19528371407517
7,1366534.923979314,6.135620735258601,2.3125,122.994334826094,0.6273507338576374,4,0.000689631,9.25,34.48155
8,1904671.759305529,6.279820142528671,2.79166666665,240.6064249760286,90.83445826789105,2,0.10902309060798,5.5833333333,50.22000000000001
9,49989037.46925635,7.698874774563851,3.138888888888889,1382.739363652215,5636.851860775376,3,2.576279248633818,9.416666666666668,23.44999634276888
10,657517.1316754228,5.8179070728959,1.916666666666667,108.6372414814238,39.9347066661034,3,0.04088,5.75,53.78947368421053
